"phenotype_category","code","description","code_system","clinical_subcategory","phenotype_name","rank"
"Chronic Paediatric Condition","G92","Toxic encephalopathy","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G930","Cerebral cysts","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G931","Anoxic brain damage, not elsewhere classified","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G932","Benign intracranial hypertension","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G933","Postviral fatigue syndrome","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G934","Encephalopathy, unspecified","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G935","Compression of brain","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G936","Cerebral oedema","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G938","Other specified disorders of brain","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G939","Disorder of brain, unspecified","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G941","Hydrocephalus in neoplastic disease","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G942","Hydrocephalus in other diseases classified elsewhere","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G948","Other specified disorders of brain in diseases classified elsewhere","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G95","Other diseases of spinal cord","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G950","Syringomyelia and syringobulbia","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G951","Vascular myelopathies","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G952","Cord compression, unspecified","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G958","Other specified diseases of spinal cord","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G959","Disease of spinal cord, unspecified","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G96","Other disorders of central nervous system","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G961","Disorders of meninges, not elsewhere classified","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G968","Other specified disorders of central nervous system","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G969","Disorder of central nervous system, unspecified","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G98","Other disorders of nervous system, not elsewhere classified","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G99","Other disorders of nervous system in diseases classified elsewhere","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G990","Autonomic neuropathy in endocrine and metabolic diseases","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G991","Other disorders of autonomic nervous system in other diseases classified elsewhere","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G992","Myelopathy in diseases classified elsewhere","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","G998","Other specified disorders of nervous system in diseases classified elsewhere","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I60","Subarachnoid haemorrhage","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I600","Subarachnoid haemorrhage from carotid siphon and bifurcation","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I601","Subarachnoid haemorrhage from middle cerebral artery","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I602","Subarachnoid haemorrhage from anterior communicating artery","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I603","Subarachnoid haemorrhage from posterior communicating artery","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I604","Subarachnoid haemorrhage from basilar artery","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I605","Subarachnoid haemorrhage from vertebral artery","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I606","Subarachnoid haemorrhage from other intracranial arteries","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I607","Subarachnoid haemorrhage from intracranial artery, unspecified","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I608","Other subarachnoid haemorrhage","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I609","Subarachnoid haemorrhage, unspecified","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I61","Intracerebral haemorrhage","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I610","Intracerebral haemorrhage in hemisphere, subcortical","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I611","Intracerebral haemorrhage in hemisphere, cortical","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I612","Intracerebral haemorrhage in hemisphere, unspecified","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I613","Intracerebral haemorrhage in brain stem","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I614","Intracerebral haemorrhage in cerebellum","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I615","Intracerebral haemorrhage, intraventricular","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I616","Intracerebral haemorrhage, multiple localized","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I618","Other intracerebral haemorrhage","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I619","Intracerebral haemorrhage, unspecified","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I62","Other nontraumatic intracranial haemorrhage","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I620","Nontraumatic subdural haemorrhage","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I621","Nontraumatic extradural haemorrhage","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I629","Intracranial haemorrhage (nontraumatic), unspecified","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I63","Cerebral infarction","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I630","Cerebral infarction due to thrombosis of precerebral arteries","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I631","Cerebral infarction due to embolism of precerebral arteries","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I632","Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I633","Cerebral infarction due to thrombosis of cerebral arteries","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I634","Cerebral infarction due to embolism of cerebral arteries","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I635","Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I636","Cerebral infarction due to cerebral venous thrombosis, nonpyogenic","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I638","Other cerebral infarction","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I639","Cerebral infarction, unspecified","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I64","Stroke, not specified as haemorrhage or infarction","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I65","Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I650","Occlusion and stenosis of vertebral artery","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I651","Occlusion and stenosis of basilar artery","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I652","Occlusion and stenosis of carotid artery","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I653","Occlusion and stenosis of multiple and bilateral precerebral arteries","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I658","Occlusion and stenosis of other precerebral artery","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I659","Occlusion and stenosis of unspecified precerebral artery","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I66","Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I660","Occlusion and stenosis of middle cerebral artery","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I661","Occlusion and stenosis of anterior cerebral artery","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I662","Occlusion and stenosis of posterior cerebral artery","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I663","Occlusion and stenosis of cerebellar arteries","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I664","Occlusion and stenosis of multiple and bilateral cerebral arteries","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I668","Occlusion and stenosis of other cerebral artery","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I669","Occlusion and stenosis of unspecified cerebral artery","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I67","Other cerebrovascular diseases","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I670","Dissection of cerebral arteries, nonruptured","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I671","Cerebral aneurysm, nonruptured","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I672","Cerebral atherosclerosis","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I673","Progressive vascular leukoencephalopathy","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I674","Hypertensive encephalopathy","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I675","Moyamoya disease","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I676","Nonpyogenic thrombosis of intracranial venous system","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I677","Cerebral arteritis, not elsewhere classified","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I678","Other specified cerebrovascular diseases","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I679","Cerebrovascular disease, unspecified","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I68","Cerebrovascular disorders in diseases classified elsewhere","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I680","Cerebral amyloid angiopathy E85.-","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I682","Cerebral arteritis in other diseases classified elsewhere","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I688","Other cerebrovascular disorders in diseases classified elsewhere","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I69","Sequelae of cerebrovascular disease","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I690","Sequelae of subarachnoid haemorrhage","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I691","Sequelae of intracerebral haemorrhage","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I692","Sequelae of other nontraumatic intracranial haemorrhage","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I693","Sequelae of cerebral infarction","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I694","Sequelae of stroke, not specified as haemorrhage or infarction","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","I698","Sequelae of other and unspecified cerebrovascular diseases","ICD10 codes","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","A531.11","Post-herpetic neuralgia","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","A531200","Postherpetic trigeminal neuralgia","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","A531500","Postzoster neuralgia","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","A531511","Postherpetic neuralgia","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","A560.00","Rubella with neurological complication","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","A560000","Rubella with unspecified neurological complication","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","A560z00","Rubella with neurological complication NOS","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","A788400","Human immunodeficiency virus with neurological disease","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","A94y100","Syphilitic parkinsonism","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","AyuA800","[X]Rubella with neurological complications","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C106000","Diabetes mellitus, juvenile type, with neurological manifestation","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C106100","Diabetes mellitus, adult onset, with neurological manifestation","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C106.11","Diabetic amyotrophy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C106.12","Diabetes mellitus with neuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C106.13","Diabetes mellitus with polyneuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C108211","Type I diabetes mellitus with neurological complications","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C108212","Type 1 diabetes mellitus with neurological complications","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C108B00","Insulin dependent diabetes mellitus with mononeuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C108B11","Type I diabetes mellitus with mononeuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C108B12","Type 1 diabetes mellitus with mononeuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C108C00","Insulin dependent diabetes mellitus with polyneuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C108C11","Type I diabetes mellitus with polyneuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C108C12","Type 1 diabetes mellitus with polyneuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C109200","Non-insulin-dependent diabetes mellitus with neurological complications","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C109211","Type II diabetes mellitus with neurological complications","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C109212","Type 2 diabetes mellitus with neurological complications","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C109A00","Non-insulin dependent diabetes mellitus with mononeuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C109A11","Type II diabetes mellitus with mononeuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C109A12","Type 2 diabetes mellitus with mononeuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C109B00","Non-insulin dependent diabetes mellitus with polyneuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C109B11","Type II diabetes mellitus with polyneuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C109B12","Type 2 diabetes mellitus with polyneuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C10E200","Type 1 diabetes mellitus with neurological complications","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C10E211","Type I diabetes mellitus with neurological complications","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C10EB00","Type 1 diabetes mellitus with mononeuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C10EB11","Type I diabetes mellitus with mononeuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C10EB12","Insulin dependent diabetes mellitus with mononeuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C10EC00","Type 1 diabetes mellitus with polyneuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C10EC11","Type I diabetes mellitus with polyneuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C10EC12","Insulin dependent diabetes mellitus with polyneuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C10F200","Type 2 diabetes mellitus with neurological complications","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C10F211","Type II diabetes mellitus with neurological complications","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C10FA00","Type 2 diabetes mellitus with mononeuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C10FA11","Type II diabetes mellitus with mononeuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C10FB00","Type 2 diabetes mellitus with polyneuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C10FB11","Type II diabetes mellitus with polyneuropathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C315100","Mitochondrial encephalopathy, lactic acidosis and stroke-like episodes","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C34y400","Gouty neuritis","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C37z.11","Marinesco-Sjogren syndrome","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C39A.00","Retinocochleocerebral vasculopathy","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","C39A.11","Susac's syndrome","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","E011100","Korsakov's alcoholic psychosis with peripheral neuritis","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","E030400","Acute confusional state, of cerebrovascular origin","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu00.00","[X]Dementia in Alzheimer's disease","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu00000","[X]Dementia in Alzheimer's disease with early onset","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu00011","[X]Presenile dementia,Alzheimer's type","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu00012","[X] Primary degenerative dementia of Alzheimer's type, presenile onset","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu00013","[X]Alzheimer's disease type 2","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu00100","[X]Dementia in Alzheimer's disease with late onset","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu00111","[X]Alzheimer's disease type 1","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu00112","[X]Senile dementia,Alzheimer's type","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu00113","[X]Primary degenerative dementia of Alzheimer's type, senile onset","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu00200","[X]Dementia in Alzheimer's dis, atypical or mixed type","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu00z00","[X]Dementia in Alzheimer's disease, unspecified","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu00z11","[X]Alzheimer's dementia unspec","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu02000","[X]Dementia in Pick's disease","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu02200","[X]Dementia in Huntington's disease","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu02300","[X]Dementia in Parkinson's disease","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu02500","[X]Lewy body dementia","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","Eu02z13","[X] Primary degenerative dementia NOS","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","F03..13","Transverse myelitis","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","F036000","Toxic encephalitis due to lead","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
"Chronic Paediatric Condition","F036100","Toxic encephalitis due to mercury","Read codes v2","Other neurological - other neurological condition","Other neurological (excluding epilepsy and headaches)",1
